Country,Area Id,Variable,Variable Id,Year,Value
Afghanistan,2,Total area of the country (excl. coastal waters),4100,2007,65286
Afghanistan,2,Cultivated area (arable land + permanent crops),4103,2007,7910
Albania,3,Total area of the country (excl. coastal waters),4100,2007,2875
Albania,3,Cultivated area (arable land + permanent crops),4103,2007,698
Algeria,4,Total area of the country (excl. coastal waters),4100,2007,238174
Algeria,4,Cultivated area (arable land + permanent crops),4103,2007,8390
Andorra,6,Total area of the country (excl. coastal waters),4100,2007,47
Andorra,6,Cultivated area (arable land + permanent crops),4103,2007,0.77
Angola,7,Total area of the country (excl. coastal waters),4100,2007,124670
Angola,7,Cultivated area (arable land + permanent crops),4103,2007,3690
Antigua and Barbuda,8,Total area of the country (excl. coastal waters),4100,2007,44
Antigua and Barbuda,8,Cultivated area (arable land + permanent crops),4103,2007,5
Argentina,9,Total area of the country (excl. coastal waters),4100,2007,278040
Argentina,9,Cultivated area (arable land + permanent crops),4103,2007,37433
Armenia,1,Total area of the country (excl. coastal waters),4100,2007,2974
Armenia,1,Cultivated area (arable land + permanent crops),4103,2007,506.1
Australia,10,Total area of the country (excl. coastal waters),4100,2007,774122
Australia,10,Cultivated area (arable land + permanent crops),4103,2007,44530
Austria,11,Total area of the country (excl. coastal waters),4100,2007,8388
Austria,11,Cultivated area (arable land + permanent crops),4103,2007,1444
Azerbaijan,52,Total area of the country (excl. coastal waters),4100,2007,8660
Azerbaijan,52,Cultivated area (arable land + permanent crops),4103,2007,2079
Bahamas,12,Total area of the country (excl. coastal waters),4100,2007,1388
Bahamas,12,Cultivated area (arable land + permanent crops),4103,2007,11
Bahrain,13,Total area of the country (excl. coastal waters),4100,2007,75
Bahrain,13,Cultivated area (arable land + permanent crops),4103,2007,4.4
Bangladesh,16,Total area of the country (excl. coastal waters),4100,2007,14846
Bangladesh,16,Cultivated area (arable land + permanent crops),4103,2007,8666
Barbados,14,Total area of the country (excl. coastal waters),4100,2007,43
Barbados,14,Cultivated area (arable land + permanent crops),4103,2007,14
Belarus,57,Total area of the country (excl. coastal waters),4100,2007,20760
Belarus,57,Cultivated area (arable land + permanent crops),4103,2007,5640
Belgium,255,Total area of the country (excl. coastal waters),4100,2007,3053
Belgium,255,Cultivated area (arable land + permanent crops),4103,2007,859.9
Belize,23,Total area of the country (excl. coastal waters),4100,2007,2297
Belize,23,Cultivated area (arable land + permanent crops),4103,2007,102
Benin,53,Total area of the country (excl. coastal waters),4100,2007,11476
Benin,53,Cultivated area (arable land + permanent crops),4103,2007,2790
Bhutan,18,Total area of the country (excl. coastal waters),4100,2007,3839
Bhutan,18,Cultivated area (arable land + permanent crops),4103,2007,156
Bolivia (Plurinational State of),19,Total area of the country (excl. coastal waters),4100,2007,109858
Bolivia (Plurinational State of),19,Cultivated area (arable land + permanent crops),4103,2007,4390
Bosnia and Herzegovina,80,Total area of the country (excl. coastal waters),4100,2007,5121
Bosnia and Herzegovina,80,Cultivated area (arable land + permanent crops),4103,2007,1117
Botswana,20,Total area of the country (excl. coastal waters),4100,2007,58173
Botswana,20,Cultivated area (arable land + permanent crops),4103,2007,184
Brazil,21,Total area of the country (excl. coastal waters),4100,2007,851577
Brazil,21,Cultivated area (arable land + permanent crops),4103,2007,75638
Brunei Darussalam,26,Total area of the country (excl. coastal waters),4100,2007,577
Brunei Darussalam,26,Cultivated area (arable land + permanent crops),4103,2007,8
Bulgaria,27,Total area of the country (excl. coastal waters),4100,2007,11100
Bulgaria,27,Cultivated area (arable land + permanent crops),4103,2007,3274
Burkina Faso,233,Total area of the country (excl. coastal waters),4100,2007,27422
Burkina Faso,233,Cultivated area (arable land + permanent crops),4103,2007,4970
Burundi,29,Total area of the country (excl. coastal waters),4100,2007,2783
Burundi,29,Cultivated area (arable land + permanent crops),4103,2007,1250
Cabo Verde,35,Total area of the country (excl. coastal waters),4100,2007,403
Cabo Verde,35,Cultivated area (arable land + permanent crops),4103,2007,51
Cambodia,115,Total area of the country (excl. coastal waters),4100,2007,18104
Cambodia,115,Cultivated area (arable land + permanent crops),4103,2007,3855
Cameroon,32,Total area of the country (excl. coastal waters),4100,2007,47544
Cameroon,32,Cultivated area (arable land + permanent crops),4103,2007,7213
Canada,33,Total area of the country (excl. coastal waters),4100,2007,998467
Canada,33,Cultivated area (arable land + permanent crops),4103,2007,49989
Central African Republic,37,Total area of the country (excl. coastal waters),4100,2007,62298
Central African Republic,37,Cultivated area (arable land + permanent crops),4103,2007,2010
Chad,39,Total area of the country (excl. coastal waters),4100,2007,128400
Chad,39,Cultivated area (arable land + permanent crops),4103,2007,4331
Chile,40,Total area of the country (excl. coastal waters),4100,2007,75610
Chile,40,Cultivated area (arable land + permanent crops),4103,2007,1719
China,351,Total area of the country (excl. coastal waters),4100,2007,960000
China,351,Cultivated area (arable land + permanent crops),4103,2007,122566
Colombia,44,Total area of the country (excl. coastal waters),4100,2007,114175
Colombia,44,Cultivated area (arable land + permanent crops),4103,2007,3570
Comoros,45,Total area of the country (excl. coastal waters),4100,2007,186.1
Comoros,45,Cultivated area (arable land + permanent crops),4103,2007,118
Congo,46,Total area of the country (excl. coastal waters),4100,2007,34200
Congo,46,Cultivated area (arable land + permanent crops),4103,2007,550
Cook Islands,47,Total area of the country (excl. coastal waters),4100,2007,24
Cook Islands,47,Cultivated area (arable land + permanent crops),4103,2007,2.18
Costa Rica,48,Total area of the country (excl. coastal waters),4100,2007,5110
Costa Rica,48,Cultivated area (arable land + permanent crops),4103,2007,500
Côte d'Ivoire,107,Total area of the country (excl. coastal waters),4100,2007,32246
Côte d'Ivoire,107,Cultivated area (arable land + permanent crops),4103,2007,7400
Croatia,98,Total area of the country (excl. coastal waters),4100,2007,5659
Croatia,98,Cultivated area (arable land + permanent crops),4103,2007,932
Cuba,49,Total area of the country (excl. coastal waters),4100,2007,10989
Cuba,49,Cultivated area (arable land + permanent crops),4103,2007,3991
Cyprus,50,Total area of the country (excl. coastal waters),4100,2007,925
Cyprus,50,Cultivated area (arable land + permanent crops),4103,2007,145.3
Czechia,167,Total area of the country (excl. coastal waters),4100,2007,7887
Czechia,167,Cultivated area (arable land + permanent crops),4103,2007,3271
Democratic People's Republic of Korea,116,Total area of the country (excl. coastal waters),4100,2007,12054
Democratic People's Republic of Korea,116,Cultivated area (arable land + permanent crops),4103,2007,2550
Democratic Republic of the Congo,250,Total area of the country (excl. coastal waters),4100,2007,234486
Democratic Republic of the Congo,250,Cultivated area (arable land + permanent crops),4103,2007,7450
Denmark,54,Total area of the country (excl. coastal waters),4100,2007,4309
Denmark,54,Cultivated area (arable land + permanent crops),4103,2007,2313
Djibouti,72,Total area of the country (excl. coastal waters),4100,2007,2320
Djibouti,72,Cultivated area (arable land + permanent crops),4103,2007,1.5
Dominica,55,Total area of the country (excl. coastal waters),4100,2007,75
Dominica,55,Cultivated area (arable land + permanent crops),4103,2007,20
Dominican Republic,56,Total area of the country (excl. coastal waters),4100,2007,4867
Dominican Republic,56,Cultivated area (arable land + permanent crops),4103,2007,1220
Ecuador,58,Total area of the country (excl. coastal waters),4100,2007,25637
Ecuador,58,Cultivated area (arable land + permanent crops),4103,2007,2415
Egypt,59,Total area of the country (excl. coastal waters),4100,2007,100145
Egypt,59,Cultivated area (arable land + permanent crops),4103,2007,3538
El Salvador,60,Total area of the country (excl. coastal waters),4100,2007,2104
El Salvador,60,Cultivated area (arable land + permanent crops),4103,2007,867
Equatorial Guinea,61,Total area of the country (excl. coastal waters),4100,2007,2805
Equatorial Guinea,61,Cultivated area (arable land + permanent crops),4103,2007,210
Eritrea,178,Total area of the country (excl. coastal waters),4100,2007,11760
Eritrea,178,Cultivated area (arable land + permanent crops),4103,2007,672
Estonia,63,Total area of the country (excl. coastal waters),4100,2007,4523
Estonia,63,Cultivated area (arable land + permanent crops),4103,2007,607.6
Eswatini,209,Total area of the country (excl. coastal waters),4100,2007,1736
Eswatini,209,Cultivated area (arable land + permanent crops),4103,2007,192
Ethiopia,238,Total area of the country (excl. coastal waters),4100,2007,110430
Ethiopia,238,Cultivated area (arable land + permanent crops),4103,2007,15077
Faroe Islands,64,Total area of the country (excl. coastal waters),4100,2007,139.6
Faroe Islands,64,Cultivated area (arable land + permanent crops),4103,2007,3
Fiji,66,Total area of the country (excl. coastal waters),4100,2007,1827
Fiji,66,Cultivated area (arable land + permanent crops),4103,2007,252
Finland,67,Total area of the country (excl. coastal waters),4100,2007,33842
Finland,67,Cultivated area (arable land + permanent crops),4103,2007,2261
France,68,Total area of the country (excl. coastal waters),4100,2007,54909
France,68,Cultivated area (arable land + permanent crops),4103,2007,19358
Gabon,74,Total area of the country (excl. coastal waters),4100,2007,26767
Gabon,74,Cultivated area (arable land + permanent crops),4103,2007,495
Gambia,75,Total area of the country (excl. coastal waters),4100,2007,1130
Gambia,75,Cultivated area (arable land + permanent crops),4103,2007,308
Georgia,73,Total area of the country (excl. coastal waters),4100,2007,6970
Georgia,73,Cultivated area (arable land + permanent crops),4103,2007,577
Germany,79,Total area of the country (excl. coastal waters),4100,2007,35710
Germany,79,Cultivated area (arable land + permanent crops),4103,2007,12075
Ghana,81,Total area of the country (excl. coastal waters),4100,2007,23854
Ghana,81,Cultivated area (arable land + permanent crops),4103,2007,7100
Greece,84,Total area of the country (excl. coastal waters),4100,2007,13196
Greece,84,Cultivated area (arable land + permanent crops),4103,2007,3701
Grenada,86,Total area of the country (excl. coastal waters),4100,2007,34
Grenada,86,Cultivated area (arable land + permanent crops),4103,2007,6
Guatemala,89,Total area of the country (excl. coastal waters),4100,2007,10889
